ID,Location_ID,Sensing_Date,HourDay,Direction_1,Direction_2,Total_of_Directions,Sensor_Name,Location
81320251012,8,2025-10-12,13,183,274,457,WebBN_T,"-37.82293543, 144.9471751"
68720251003,68,2025-10-03,7,94,75,169,FLDegN_T,"-37.8168479, 144.96559789"
210220251014,210,2025-10-14,2,1,1,2,WatCit_T,"-37.8157484, 144.93978108"
109320251012,109,2025-10-12,3,16,14,30,LatWill_T,"-37.81193681, 144.95621105"
62520251007,62,2025-10-07,5,9,7,16,Lat224_T,"-37.80996494, 144.96216521"
2122320251026,212,2025-10-26,23,44,118,162,SouthB_T,"-37.82025374, 144.96501549"
661120251012,66,2025-10-12,11,963,1276,2239,QVN_T,"-37.81057846, 144.96444294"
67720251008,67,2025-10-08,7,164,168,332,FLDegS_T,"-37.81688755, 144.96562569"
41820251006,4,2025-10-06,18,1299,1011,2310,Swa123_T,"-37.81487988, 144.9660878"
131620251020,131,2025-10-20,6,9,6,15,King2_T,"-37.82009057, 144.95758725"
12020251007,12,2025-10-07,0,2,3,5,NewQ_T,"-37.81457988, 144.94292398"
432320251005,43,2025-10-05,23,10,7,17,UM2_T,"-37.79844526, 144.96411782"
47620251002,47,2025-10-02,6,35,141,176,Eli250_T,"-37.81258467, 144.9625775"
671120251014,67,2025-10-14,11,447,448,895,FLDegS_T,"-37.81688755, 144.96562569"
871420251013,87,2025-10-13,14,91,95,186,Errol23_T,"-37.80454949, 144.94921863"
185920251024,185,2025-10-24,9,346,557,903,Eli197_T,"-37.81374643, 144.96276183"
1792120251011,179,2025-10-11,21,60,65,125,Pow61_T,"-37.82392385, 144.96299677"
721620251015,72,2025-10-15,16,144,735,879,ACMI_T,"-37.81726338, 144.96872809"
451220251022,45,2025-10-22,12,732,713,1445,Swa148_T,"-37.81414075, 144.96609379"
1421020251001,142,2025-10-01,10,346,204,550,Hammer1584_T,"-37.81970749, 144.96795734"
54520251013,54,2025-10-13,5,4,7,11,Swa607_T,"-37.804024, 144.96308399"
67920251027,67,2025-10-27,9,526,331,857,FLDegS_T,"-37.81688755, 144.96562569"
42620251030,42,2025-10-30,6,13,24,37,UM1_T,"-37.80008566, 144.96386412"
210920251001,210,2025-10-01,9,26,36,62,WatCit_T,"-37.8157484, 144.93978108"
581220251024,58,2025-10-24,12,832,376,1208,Bou688_T,"-37.81686075, 144.95358075"
1301420251007,130,2025-10-07,14,64,43,107,Bou892T,"-37.8204637, 144.94126826"
611720251002,61,2025-10-02,17,494,700,1194,RMIT14_T,"-37.80767455, 144.96309114"
132620251030,132,2025-10-30,6,40,25,65,King335_T,"-37.81267639, 144.95386444"
672220251018,67,2025-10-18,22,167,231,398,FLDegS_T,"-37.81688755, 144.96562569"
58820251006,58,2025-10-06,8,1497,166,1663,Bou688_T,"-37.81686075, 144.95358075"
61720251003,6,2025-10-03,17,795,411,1206,FliS_T,"-37.81907439, 144.96557866"
42220251004,4,2025-10-04,22,995,830,1825,Swa123_T,"-37.81487988, 144.9660878"
108520251023,108,2025-10-23,5,12,72,84,261Will_T,"-37.81295822, 144.95678789"
1381620251020,138,2025-10-20,16,8,4,12,EntPark1671_T,"-37.81996544, 144.95981454"
1072220251004,107,2025-10-04,22,92,68,160,280Will_T,"-37.81246271, 144.95690188"
21320251019,2,2025-10-19,13,910,925,1835,Bou283_T,"-37.81380668, 144.96516718"
1811220251020,181,2025-10-20,12,617,866,1483,Eli368_T,"-37.81009465, 144.96143149"
11020251023,1,2025-10-23,10,486,575,1061,Bou292_T,"-37.81349441, 144.96515323"
681120251019,68,2025-10-19,11,317,268,585,FLDegN_T,"-37.8168479, 144.96559789"
72420251025,72,2025-10-25,4,1,3,4,ACMI_T,"-37.81726338, 144.96872809"
502020251031,50,2025-10-31,20,244,227,471,Lyg309_T,"-37.79808192, 144.96721013"
51320251022,51,2025-10-22,3,4,3,7,Fra118_T,"-37.80841815, 144.95906316"
751820251024,75,2025-10-24,18,81,53,134,SprFli_T,"-37.81515276, 144.97467661"
184520251026,184,2025-10-26,5,25,37,62,Eli124_T,"-37.81512416, 144.96371988"
1671620251024,167,2025-10-24,16,40,53,93,Lat526_T,"-37.81304149, 144.95155955"
87320251007,87,2025-10-07,3,0,2,2,Errol23_T,"-37.80454949, 144.94921863"
182020251023,18,2025-10-23,20,23,2,25,Col12_T,"-37.81344862, 144.97305353"
30220251016,30,2025-10-16,2,45,26,71,Lon189_T,"-37.8112185, 144.96656806"
1241420251030,124,2025-10-30,14,8,8,16,BirBridge_T,"-37.81757416, 144.97329934"
182920251018,182,2025-10-18,9,107,123,230,King163_T,"-37.81627451, 144.95550503"
681420251018,68,2025-10-18,14,331,310,641,FLDegN_T,"-37.8168479, 144.96559789"
621420251021,62,2025-10-21,14,246,199,445,Lat224_T,"-37.80996494, 144.96216521"
201820251012,20,2025-10-12,18,387,328,715,LtB170_T,"-37.81172914, 144.9682466"
36320251017,36,2025-10-17,3,5,2,7,Que85_T,"-37.81652527, 144.96121062"
1412220251001,141,2025-10-01,22,75,73,148,474Fl_T,"-37.81997273, 144.95834911"
1392220251028,139,2025-10-28,22,2,4,6,Signal1647_T,"-37.81959923, 144.9632832"
132820251013,132,2025-10-13,8,151,103,254,King335_T,"-37.81267639, 144.95386444"
561420251013,56,2025-10-13,14,292,197,489,Lon364_T,"-37.81234775, 144.96153311"
511020251029,51,2025-10-29,10,92,75,167,Fra118_T,"-37.80841815, 144.95906316"
181620251003,181,2025-10-03,6,136,134,270,Eli368_T,"-37.81009465, 144.96143149"
50620251021,50,2025-10-21,6,5,14,19,Lyg309_T,"-37.79808192, 144.96721013"
541520251002,54,2025-10-02,15,122,141,263,Swa607_T,"-37.804024, 144.96308399"
1071020251023,107,2025-10-23,10,107,128,235,280Will_T,"-37.81246271, 144.95690188"
211620251009,211,2025-10-09,6,84,158,242,SouthB_T,"-37.82020539, 144.96499384"
362020251006,36,2025-10-06,20,95,87,182,Que85_T,"-37.81652527, 144.96121062"
24920251008,24,2025-10-08,9,1462,268,1730,Col620_T,"-37.81887963, 144.95449198"
58320251003,58,2025-10-03,3,2,14,16,Bou688_T,"-37.81686075, 144.95358075"
661720251028,66,2025-10-28,17,1396,1531,2927,QVN_T,"-37.81057846, 144.96444294"
2091720251005,209,2025-10-05,17,671,652,1323,FliS_T,"-37.81909037, 144.96549709"
77420251005,77,2025-10-05,4,7,4,11,HarEsP_T,"-37.81441438, 144.94433026"
681420251013,68,2025-10-13,14,308,279,587,FLDegN_T,"-37.8168479, 144.96559789"
27520251008,27,2025-10-08,5,7,12,19,Vic_T,"-37.80606888, 144.95644692"
461520251002,46,2025-10-02,15,51,66,117,Pel147_T,"-37.80240719, 144.9615673"
1171020251003,117,2025-10-03,10,97,128,225,Fli114F_T,"-37.81629332, 144.97090877"
561020251001,56,2025-10-01,10,245,136,381,Lon364_T,"-37.81234775, 144.96153311"
1421920251028,142,2025-10-28,19,392,341,733,Hammer1584_T,"-37.81970749, 144.96795734"
142220251015,14,2025-10-15,22,124,83,207,SanBri_T,"-37.82011242, 144.96291897"
611720251007,61,2025-10-07,17,576,952,1528,RMIT14_T,"-37.80767455, 144.96309114"
672220251023,67,2025-10-23,22,87,161,248,FLDegS_T,"-37.81688755, 144.96562569"
1852020251019,185,2025-10-19,20,308,413,721,Eli197_T,"-37.81374643, 144.96276183"
861120251009,86,2025-10-09,11,63,41,104,574Qub_T,"-37.80309992, 144.94908064"
1361120251021,136,2025-10-21,11,114,76,190,BirFed1120_T,"-37.8184141, 144.97357915"
42920251006,42,2025-10-06,9,296,136,432,UM1_T,"-37.80008566, 144.96386412"
2102020251025,210,2025-10-25,20,49,84,133,WatCit_T,"-37.8157484, 144.93978108"
17420251008,17,2025-10-08,4,9,10,19,Col15_T,"-37.81362543, 144.97323591"
61020251021,61,2025-10-21,0,38,37,75,RMIT14_T,"-37.80767455, 144.96309114"
182220251016,18,2025-10-16,22,33,18,51,Col12_T,"-37.81344862, 144.97305353"
